2025-12-13 20:56:17,323 - __main__ - INFO - ============================================================
2025-12-13 20:56:17,323 - __main__ - INFO - Building ALL features
2025-12-13 20:56:17,323 - __main__ - INFO - Period: 2021-01-01 to 2025-12-13
2025-12-13 20:56:17,323 - __main__ - INFO - ============================================================
2025-12-13 20:56:17,323 - __main__ - INFO - 
[1/5] Building universe history...
2025-12-13 20:56:17,342 - __main__ - INFO - ============================================================
2025-12-13 20:56:17,342 - __main__ - INFO - Building universe history
2025-12-13 20:56:17,342 - __main__ - INFO - Period: 2021-01-01 to 2025-12-13
2025-12-13 20:56:17,342 - __main__ - INFO - ============================================================
2025-12-13 20:56:17,343 - UniverseManager - INFO - Building universe history from 2021-01-01 to 2025-12-13
2025-12-13 20:56:17,343 - UniverseManager - INFO - Building universe history from 2021-01-01 to 2025-12-13
2025-12-13 20:56:17,550 - UniverseManager - INFO - Universe for 2021-01-01: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:17,550 - UniverseManager - INFO - Universe for 2021-01-01: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:17,628 - UniverseManager - INFO - Universe for 2021-01-02: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:17,628 - UniverseManager - INFO - Universe for 2021-01-02: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:17,701 - UniverseManager - INFO - Universe for 2021-01-03: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:17,701 - UniverseManager - INFO - Universe for 2021-01-03: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:17,787 - UniverseManager - INFO - Universe for 2021-01-04: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:17,787 - UniverseManager - INFO - Universe for 2021-01-04: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:17,900 - UniverseManager - INFO - Universe for 2021-01-05: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:17,900 - UniverseManager - INFO - Universe for 2021-01-05: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:17,999 - UniverseManager - INFO - Universe for 2021-01-06: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:17,999 - UniverseManager - INFO - Universe for 2021-01-06: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,083 - UniverseManager - INFO - Universe for 2021-01-07: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,083 - UniverseManager - INFO - Universe for 2021-01-07: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,161 - UniverseManager - INFO - Universe for 2021-01-08: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,161 - UniverseManager - INFO - Universe for 2021-01-08: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,253 - UniverseManager - INFO - Universe for 2021-01-09: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,253 - UniverseManager - INFO - Universe for 2021-01-09: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,363 - UniverseManager - INFO - Universe for 2021-01-10: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,363 - UniverseManager - INFO - Universe for 2021-01-10: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,494 - UniverseManager - INFO - Universe for 2021-01-11: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,494 - UniverseManager - INFO - Universe for 2021-01-11: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,585 - UniverseManager - INFO - Universe for 2021-01-12: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,585 - UniverseManager - INFO - Universe for 2021-01-12: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,655 - UniverseManager - INFO - Universe for 2021-01-13: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,655 - UniverseManager - INFO - Universe for 2021-01-13: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,737 - UniverseManager - INFO - Universe for 2021-01-14: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,737 - UniverseManager - INFO - Universe for 2021-01-14: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,832 - UniverseManager - INFO - Universe for 2021-01-15: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,832 - UniverseManager - INFO - Universe for 2021-01-15: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,922 - UniverseManager - INFO - Universe for 2021-01-16: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:18,922 - UniverseManager - INFO - Universe for 2021-01-16: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,032 - UniverseManager - INFO - Universe for 2021-01-17: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,032 - UniverseManager - INFO - Universe for 2021-01-17: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,150 - UniverseManager - INFO - Universe for 2021-01-18: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,150 - UniverseManager - INFO - Universe for 2021-01-18: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,277 - UniverseManager - INFO - Universe for 2021-01-19: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,277 - UniverseManager - INFO - Universe for 2021-01-19: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,404 - UniverseManager - INFO - Universe for 2021-01-20: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,404 - UniverseManager - INFO - Universe for 2021-01-20: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,537 - UniverseManager - INFO - Universe for 2021-01-21: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,537 - UniverseManager - INFO - Universe for 2021-01-21: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,606 - UniverseManager - INFO - Universe for 2021-01-22: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,606 - UniverseManager - INFO - Universe for 2021-01-22: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,676 - UniverseManager - INFO - Universe for 2021-01-23: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,676 - UniverseManager - INFO - Universe for 2021-01-23: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,758 - UniverseManager - INFO - Universe for 2021-01-24: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,758 - UniverseManager - INFO - Universe for 2021-01-24: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,831 - UniverseManager - INFO - Universe for 2021-01-25: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,831 - UniverseManager - INFO - Universe for 2021-01-25: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,899 - UniverseManager - INFO - Universe for 2021-01-26: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,899 - UniverseManager - INFO - Universe for 2021-01-26: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,966 - UniverseManager - INFO - Universe for 2021-01-27: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:19,966 - UniverseManager - INFO - Universe for 2021-01-27: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,044 - UniverseManager - INFO - Universe for 2021-01-28: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,044 - UniverseManager - INFO - Universe for 2021-01-28: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,115 - UniverseManager - INFO - Universe for 2021-01-29: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,115 - UniverseManager - INFO - Universe for 2021-01-29: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,189 - UniverseManager - INFO - Universe for 2021-01-30: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,189 - UniverseManager - INFO - Universe for 2021-01-30: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,267 - UniverseManager - INFO - Universe for 2021-01-31: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,267 - UniverseManager - INFO - Universe for 2021-01-31: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,470 - UniverseManager - INFO - Universe for 2021-02-01: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,470 - UniverseManager - INFO - Universe for 2021-02-01: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,542 - UniverseManager - INFO - Universe for 2021-02-02: 20/20 slots filled, top coin: XRPUSDTUSDT
2025-12-13 20:56:20,542 - UniverseManager - INFO - Universe for 2021-02-02: 20/20 slots filled, top coin: XRPUSDTUSDT
2025-12-13 20:56:20,613 - UniverseManager - INFO - Universe for 2021-02-03: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,613 - UniverseManager - INFO - Universe for 2021-02-03: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,688 - UniverseManager - INFO - Universe for 2021-02-04: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,688 - UniverseManager - INFO - Universe for 2021-02-04: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,766 - UniverseManager - INFO - Universe for 2021-02-05: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,766 - UniverseManager - INFO - Universe for 2021-02-05: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,834 - UniverseManager - INFO - Universe for 2021-02-06: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,834 - UniverseManager - INFO - Universe for 2021-02-06: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,938 - UniverseManager - INFO - Universe for 2021-02-07: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:20,938 - UniverseManager - INFO - Universe for 2021-02-07: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,028 - UniverseManager - INFO - Universe for 2021-02-08: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,028 - UniverseManager - INFO - Universe for 2021-02-08: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,103 - UniverseManager - INFO - Universe for 2021-02-09: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,103 - UniverseManager - INFO - Universe for 2021-02-09: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,204 - UniverseManager - INFO - Universe for 2021-02-10: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,204 - UniverseManager - INFO - Universe for 2021-02-10: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,279 - UniverseManager - INFO - Universe for 2021-02-11: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,279 - UniverseManager - INFO - Universe for 2021-02-11: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,374 - UniverseManager - INFO - Universe for 2021-02-12: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,374 - UniverseManager - INFO - Universe for 2021-02-12: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,453 - UniverseManager - INFO - Universe for 2021-02-13: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,453 - UniverseManager - INFO - Universe for 2021-02-13: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,531 - UniverseManager - INFO - Universe for 2021-02-14: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,531 - UniverseManager - INFO - Universe for 2021-02-14: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,595 - UniverseManager - INFO - Universe for 2021-02-15: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,595 - UniverseManager - INFO - Universe for 2021-02-15: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,670 - UniverseManager - INFO - Universe for 2021-02-16: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,670 - UniverseManager - INFO - Universe for 2021-02-16: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,740 - UniverseManager - INFO - Universe for 2021-02-17: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,740 - UniverseManager - INFO - Universe for 2021-02-17: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,829 - UniverseManager - INFO - Universe for 2021-02-18: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,829 - UniverseManager - INFO - Universe for 2021-02-18: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,925 - UniverseManager - INFO - Universe for 2021-02-19: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:21,925 - UniverseManager - INFO - Universe for 2021-02-19: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,027 - UniverseManager - INFO - Universe for 2021-02-20: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,027 - UniverseManager - INFO - Universe for 2021-02-20: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,115 - UniverseManager - INFO - Universe for 2021-02-21: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,115 - UniverseManager - INFO - Universe for 2021-02-21: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,183 - UniverseManager - INFO - Universe for 2021-02-22: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,183 - UniverseManager - INFO - Universe for 2021-02-22: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,252 - UniverseManager - INFO - Universe for 2021-02-23: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,252 - UniverseManager - INFO - Universe for 2021-02-23: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,317 - UniverseManager - INFO - Universe for 2021-02-24: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,317 - UniverseManager - INFO - Universe for 2021-02-24: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,385 - UniverseManager - INFO - Universe for 2021-02-25: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,385 - UniverseManager - INFO - Universe for 2021-02-25: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,467 - UniverseManager - INFO - Universe for 2021-02-26: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,467 - UniverseManager - INFO - Universe for 2021-02-26: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,553 - UniverseManager - INFO - Universe for 2021-02-27: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,553 - UniverseManager - INFO - Universe for 2021-02-27: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,639 - UniverseManager - INFO - Universe for 2021-02-28: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,639 - UniverseManager - INFO - Universe for 2021-02-28: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,989 - UniverseManager - INFO - Universe for 2021-03-01: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:22,989 - UniverseManager - INFO - Universe for 2021-03-01: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:23,101 - UniverseManager - INFO - Universe for 2021-03-02: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:23,101 - UniverseManager - INFO - Universe for 2021-03-02: 20/20 slots filled, top coin: BTCUSDTUSDT
2025-12-13 20:56:23,188 - UniverseManager - INFO - Universe for 2021-03-03: 20/20 slots filled, top coin: BTCUSDTUSDT
